Trimestre,Categoria,Tipo,Evento,DataInicio,DataFim,Cor,Subtipo,Bloco-Contrato
Trim 2,Parceria,,WS,2024-06-11 00:00:00,,666666,Parceria,1-SPS-108-Aram_P6
Trim 2,Parceria,,WS,2024-06-28 00:00:00,,666666,Parceria,ALTO DE CABO FRIO CENTRAL-Alto de Cabo Frio Central_P3
Trim 2,Poços,1-PAS-28-PA,Perfuração,2029-06-22 00:00:00,2029-10-25 00:00:00,FF0000,1-PAS-28-PA,PAMA-M-192-BM-PAMA-8
Trim 2,Poços,3-PAD_MAS36,Perfuração,2028-05-23 00:00:00,2028-09-10 00:00:00,FF0000,3-PAD_MAS36,1-MAS-36-BM-BAR-1
Trim 2,Poços,ACFC-01,Perfuração,2025-04-11 00:00:00,2025-07-13 00:00:00,FF0000,ACFC-01,ALTO DE CABO FRIO CENTRAL-Alto de Cabo Frio Central_P3
Trim 2,Poços,ACFC-02,Avaliação,2022-05-12 00:00:00,2022-07-18 00:00:00,FF0000,ACFC-02,ALTO DE CABO FRIO CENTRAL-Alto de Cabo Frio Central_P3
Trim 2,Poços,ACFC-08,Perfuração,2026-05-10 00:00:00,2026-08-05 00:00:00,FF0000,ACFC-08,ALTO DE CABO FRIO CENTRAL-Alto de Cabo Frio Central_P3
Trim 2,Poços,ARAM PROFUNDO,Perfuração,2026-06-10 00:00:00,2026-10-08 00:00:00,FF0000,ARAM PROFUNDO,1-SPS-108-Aram_P6
Trim 2,Poços,BUZ W,Completação inferior,2025-04-11 00:00:00,2025-05-01 00:00:00,FF0000,BUZ W,BÚZIOS_ECO-BÚZIOS_ECO
Trim 2,Poços,C3,Avaliação,2027-04-18 00:00:00,2027-05-09 00:00:00,FF0000,C3,LIBRA-LIBRA_P1
Trim 2,Poços,COTINGA,Perfuração,2028-05-10 00:00:00,2028-09-11 00:00:00,FF0000,COTINGA,FZA-M-88-FZA-M-88_R11
Trim 2,Poços,CURAÇAO EXTREMO NORTE,Perfuração,2025-05-19 00:00:00,2025-09-01 00:00:00,FF0000,CURAÇAO EXTREMO NORTE,1-SPS-108-Aram_P6
Trim 2,Poços,CURAÇAO OESTE,Avaliação,2026-04-15 00:00:00,2026-06-09 00:00:00,FF0000,CURAÇAO OESTE,1-SPS-108-Aram_P6
Trim 2,Poços,EXTENSÃO W SAGITARIO,Perfuração,2023-06-05 00:00:00,2023-07-03 00:00:00,FF0000,EXTENSÃO W SAGITARIO,1-SPS-98-BM-S-50
Trim 2,Poços,MANDI,Perfuração,2025-04-27 00:00:00,2025-07-06 00:00:00,FF0000,MANDI,MARLIM SUL-MARLIM SUL
Trim 2,Poços,MORPHO,Perfuração,2025-06-24 00:00:00,2025-11-03 00:00:00,FF0000,MORPHO,FZA-M-59-FZA-M-59_R11
Trim 2,Poços,NOVO ANDURÁ,Perfuração,2022-06-16 00:00:00,2022-08-21 00:00:00,FF0000,NOVO ANDURÁ,ES-M-596-ES-M-596_R11
Trim 2,Poços,NOVO ANDURÁ,Perfuração,2024-04-23 00:00:00,2024-06-11 00:00:00,FF0000,NOVO ANDURÁ,ES-M-596-ES-M-596_R11
Trim 2,Poços,ORION-N,Perfuração,2026-05-24 00:00:00,2026-10-06 00:00:00,FF0000,ORION-N,SUDOESTE DE SAGITÁRIO-SUDOESTE DE SAGITÁRIO_OPP1
Trim 2,Poços,PAPAYUELA,Perfuração,2025-05-03 00:00:00,2025-09-12 00:00:00,FF0000,PAPAYUELA,TAYRONA-Contrato E&E Tayrona
Trim 2,Poços,PARAÍBA SUL,Perfuração,2024-05-15 00:00:00,2024-07-06 00:00:00,FF0000,PARAÍBA SUL,JUBARTE-BC-60
Trim 2,Poços,POTA-1,Perfuração,2025-06-22 00:00:00,2025-09-09 00:00:00,FF0000,POTA-1,BLOCK 11-BLOCK 11
Trim 2,Poços,SALMONETE-1,Perfuração,2025-04-03 00:00:00,2025-06-21 00:00:00,FF0000,SALMONETE-1,BLOCK 11-BLOCK 11
Trim 2,Poços,SANDÍA-1,Perfuração,2026-05-08 00:00:00,2026-08-15 00:00:00,FF0000,SANDÍA-1,TAYRONA-Contrato E&E Tayrona
